"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.41515e+06,1.21008e+06,125049,184733,166738,117848,2549.75,-5702.87,2.03369e+06,24979.6,1636.27,3230.47,6284.9,10.5627
1.47804e+06,1.17302e+06,102422,144318,121549,92520,2371.79,-7617.71,2.27906e+06,25234.8,2759.56,5241.37,7138.32,10.5641
1.48718e+06,1.17703e+06,129394,332475,310012,121818,2435.54,-2486.43,1.74494e+06,20964,2777.21,2866.08,5376.14,10.7458
1.5916e+06,1.32497e+06,246340,476867,401755,216210,2316.97,-7539.74,2.40494e+06,19781.6,973.677,3798.99,7350.1,10.7564
1.46006e+06,1.18934e+06,142957,172644,147871,131372,3481.07,-6895.56,2.22599e+06,24982.9,4947.13,2742.06,6690.48,10.7682
1.37018e+06,1.1095e+06,154777,240730,213106,141049,2120.13,-3326.68,1.69472e+06,29554.1,1295.06,3604.69,5953.2,10.7798
1.47768e+06,1.21218e+06,129322,238854,176762,111541,2153.42,-7329.53,2.16511e+06,21587.2,253.339,2426.68,7248.77,10.9134
1.5031e+06,1.21484e+06,202004,316235,289598,196596,1311.6,-4055.95,1.86253e+06,23544.9,1081.81,2354.88,6145.55,10.9266
1.42003e+06,1.18174e+06,125827,193858,175328,119368,2079.09,-7238.18,2.44116e+06,22874.7,875.846,2384.31,7387.99,11.0107
1.54824e+06,1.22185e+06,108832,146766,119780,100719,1790.13,-3536.52,1.2728e+06,19438.9,660.388,2552.5,3895.06,11.0393
1.22433e+06,955469,148178,205609,172359,136440,2078.86,-4788.94,1.54332e+06,29281.3,-508.603,4365.57,5482.7,11.0455
1.54508e+06,1.25757e+06,147345,188192,159331,133538,3404.42,-6796.06,1.97789e+06,48011.8,1157.6,4009.51,5873.2,11.0635
1.27268e+06,1.09802e+06,169590,258082,243067,165347,1858.22,-7008.17,2.24781e+06,8550.98,2007.16,1704.52,5950.53,11.1163
1.17266e+06,942808,151998,165714,137464,137514,985.548,-3961.79,1.52339e+06,25086.1,2834.33,3337.03,4570.33,11.1272
1.61131e+06,1.34927e+06,125157,155656,137983,116814,2313.41,-5115.74,2.33556e+06,27122.5,190.174,3766.62,7002.3,11.2423
1.5695e+06,1.27381e+06,129540,164563,144825,122852,2142.15,-9469.14,2.8286e+06,18946.4,-160.982,3758.07,8804.56,11.2909
1.63505e+06,1.3375e+06,132291,220535,199347,122733,2661.03,-5718.28,2.47484e+06,36712.9,298.818,2703.84,8278.98,11.3959
1.45994e+06,1.18443e+06,168764,199870,163004,146145,2532.94,-10821.9,3.28476e+06,36303.1,3755.84,5264.04,10792,11.4731
1.45336e+06,1.20628e+06,157477,198574,167151,140569,2470.11,-8688.13,2.65084e+06,31768.2,3645.31,3953.57,8427.2,11.4863
1.25411e+06,1.03299e+06,131197,193348,173014,125028,1970.74,-4360.98,2.00753e+06,61793.9,407.322,1998.81,6606,11.5226
1.39385e+06,1.11949e+06,106814,124976,106451,99823,1436.66,-6872.51,2.11795e+06,17398.1,664.144,2259.96,6409.44,11.5726
1.52954e+06,1.32889e+06,97691.8,133364,120762,92426,2414.07,-5745.36,1.87796e+06,20182.9,333.642,3089.64,5398.88,11.6761
1.44032e+06,1.1734e+06,117714,155851,135463,110133,1916.91,-6364.65,1.93471e+06,24507.7,1177.94,2625.83,6061.17,11.7252
1.52154e+06,1.15866e+06,162121,165724,132538,141481,4794.32,-9531.48,3.29368e+06,42866,2386.67,4419.75,9922.17,11.7398
1.48568e+06,1.22886e+06,126992,152819,138195,121851,1583.87,-8063.49,2.24224e+06,16950.2,1753.32,3529.54,7421.48,11.9022
1.0044e+06,817221,101061,151137,120912,88966,1517.81,-5046.33,1.4281e+06,20146.6,2724.14,3705.67,4900.58,11.9297
1.24424e+06,967554,130964,205383,172137,120993,1907.88,-2834.34,1.41164e+06,24311.9,2955.85,2901.11,4914.11,11.9632
1.37274e+06,1.163e+06,151511,196054,155161,130620,2708.49,-5480.43,1.69362e+06,35852.9,668.788,2157.38,5491.6,12.0618
1.48941e+06,1.22217e+06,107196,167434,151528,100801,2032.15,-4878.29,1.77007e+06,28508.7,1943.08,2923.16,5414.79,12.0717
1.30953e+06,1.0515e+06,120130,142660,122957,111225,2064.27,-4361.07,1.37214e+06,28011.9,1172.14,2921.74,3886.21,12.0893
1.44561e+06,1.20711e+06,93297.6,142307,129751,88387,1491.41,-3933.29,1.64367e+06,24341.9,1127.83,3181.5,5230.61,12.1167
1.08094e+06,903653,151443,189314,160564,138878,1736.89,-5804.63,1.65817e+06,27371.8,2700.24,3293.59,6183.93,12.1633
1.49474e+06,1.22768e+06,126358,163787,144506,118401,3069.6,-7249.97,2.23723e+06,52937.9,685.246,2567.25,6482.74,12.2114
1.49574e+06,1.19239e+06,120173,150439,132719,112771,1693.21,-6981.98,2.20986e+06,21398.5,1308.48,4160.21,6513.42,12.2177
1.5045e+06,1.23698e+06,140997,172076,151559,132990,1322.32,-7890.56,2.54278e+06,20195.5,1835.73,3057.19,7322.45,12.2522
1.28054e+06,1.04227e+06,151048,224799,196688,139911,1455.95,-4287.41,1.64755e+06,26825.5,2046.92,2734.06,5592.88,12.2699
1.27342e+06,975516,156575,199141,158281,142607,1614.27,-4050.3,1.51106e+06,22744.3,2207.02,3441.09,4556.88,12.4282
1.42182e+06,1.21272e+06,96249.2,146624,132760,90021,1991.63,-4739.24,1.51028e+06,26319.2,2490.8,2897.89,4798.2,12.5014
1.21749e+06,989580,153718,253284,228809,144580,2137.09,-4514.17,1.77567e+06,26016.4,924.113,3556.91,5659,12.5436
1.06981e+06,794071,150175,200871,161414,134682,1731.05,-4649.03,1.70104e+06,26422.7,2103.64,4309.15,5232.53,12.5527
1.1701e+06,913593,126158,210554,175691,112066,1395.48,-6122.02,2.16242e+06,26613.7,1839.37,3589.91,7379.75,12.5713
1.48952e+06,1.25704e+06,150306,196753,177437,141282,2210.07,-6820.72,2.02806e+06,21767.1,476.043,2917.7,6246.74,12.7919
1.42078e+06,1.17918e+06,135357,183971,157864,121695,2262.81,-6913.78,2.77715e+06,34181.9,1380.83,4658.59,8329.93,12.8282
1.05885e+06,830118,116104,200315,170697,104636,1763.01,-3754.14,1.77446e+06,32874.1,1347.5,4698.32,6044.15,12.8394
1.67184e+06,1.32904e+06,173825,226549,183109,149694,6116.24,-7983.64,3.11654e+06,52107.1,4364.81,4248.09,9250.01,12.8447
1.36412e+06,1.0429e+06,151304,222835,189873,142741,1224.8,-4030.04,1.48153e+06,20762.6,-120.836,3873.57,4412.33,12.923
1.29397e+06,1.03644e+06,174833,304286,267474,162087,2772.96,-5127.61,2.12117e+06,31291.3,3604.99,4406.94,6413.41,12.9955
1.49919e+06,1.22024e+06,88217,150530,131648,81728,2025.78,-3201.47,1.61838e+06,17336.2,144.453,2827.85,4485.05,13.0492
1.88065e+06,1.35685e+06,171761,261161,202965,144229,3708.74,-6310.21,1.93603e+06,59891.3,4611.9,2889.43,6829.03,13.1322
